"Faction","name","label","color"
1,"MrHi","H","red"
1,"2","2","red"
1,"3","3","red"
1,"4","4","red"
1,"5","5","red"
1,"6","6","red"
1,"7","7","red"
1,"8","8","red"
2,"9","9","blue"
2,"10","10","blue"
1,"11","11","red"
1,"12","12","red"
1,"13","13","red"
1,"14","14","red"
2,"15","15","blue"
2,"16","16","blue"
1,"17","17","red"
1,"18","18","red"
2,"19","19","blue"
1,"20","20","red"
2,"21","21","blue"
1,"22","22","red"
2,"23","23","blue"
2,"24","24","blue"
2,"25","25","blue"
2,"26","26","blue"
2,"27","27","blue"
2,"28","28","blue"
2,"29","29","blue"
2,"30","30","blue"
2,"31","31","blue"
2,"32","32","blue"
2,"33","33","blue"
2,"JohnA","A","blue"
