"","shape","name"
"1","square","V1"
"2","square","V2"
"3","square","V3"
"4","square","V3A"
"5","square","V4"
"6","square","V4t"
"7","square","VOT"
"8","square","VP"
"9","square","MT"
"10","square","MSTd/p"
"11","square","MSTl"
"12","square","PO"
"13","square","LIP"
"14","square","PIP"
"15","square","VIP"
"16","square","DP"
"17","square","7a"
"18","square","FST"
"19","square","PITd"
"20","square","PITv"
"21","square","CITd"
"22","square","CITv"
"23","square","AITd"
"24","square","AITv"
"25","square","STPp"
"26","square","STPa"
"27","square","TF"
"28","square","TH"
"29","square","FEF"
"30","square","46"
"31","circle","3a"
"32","circle","3b"
"33","circle","1"
"34","circle","2"
"35","circle","5"
"36","circle","Ri"
"37","circle","SII"
"38","circle","7b"
"39","circle","4"
"40","circle","6"
"41","circle","SMA"
"42","circle","Ig"
"43","circle","Id"
"44","circle","35"
"45","circle","36"
